"Registry name","ID","meta","Display name","Count"
"actuallyadditions:block_crystal_cluster_coal",4132,0,"Black Crystal Cluster",13
"actuallyadditions:block_crystal_cluster_coal",4132,1,"Black Crystal Cluster",19
"actuallyadditions:block_crystal_cluster_coal",4132,2,"Black Crystal Cluster",20
"actuallyadditions:block_crystal_cluster_coal",4132,3,"Black Crystal Cluster",7
"actuallyadditions:block_crystal_cluster_coal",4132,4,"Black Crystal Cluster",7
"actuallyadditions:block_crystal_cluster_coal",4132,5,"Black Crystal Cluster",8
"actuallyadditions:block_crystal_cluster_diamond",4131,0,"Light Blue Crystal Cluster",15
"actuallyadditions:block_crystal_cluster_diamond",4131,1,"Light Blue Crystal Cluster",20
"actuallyadditions:block_crystal_cluster_diamond",4131,2,"Light Blue Crystal Cluster",13
"actuallyadditions:block_crystal_cluster_diamond",4131,3,"Light Blue Crystal Cluster",4
"actuallyadditions:block_crystal_cluster_diamond",4131,4,"Light Blue Crystal Cluster",9
"actuallyadditions:block_crystal_cluster_diamond",4131,5,"Light Blue Crystal Cluster",12
"actuallyadditions:block_crystal_cluster_emerald",4133,0,"Green Crystal Cluster",8
"actuallyadditions:block_crystal_cluster_emerald",4133,1,"Green Crystal Cluster",18
"actuallyadditions:block_crystal_cluster_emerald",4133,2,"Green Crystal Cluster",13
"actuallyadditions:block_crystal_cluster_emerald",4133,3,"Green Crystal Cluster",13
"actuallyadditions:block_crystal_cluster_emerald",4133,4,"Green Crystal Cluster",15
"actuallyadditions:block_crystal_cluster_emerald",4133,5,"Green Crystal Cluster",13
"actuallyadditions:block_crystal_cluster_iron",4134,0,"White Crystal Cluster",12
"actuallyadditions:block_crystal_cluster_iron",4134,1,"White Crystal Cluster",10
"actuallyadditions:block_crystal_cluster_iron",4134,2,"White Crystal Cluster",11
"actuallyadditions:block_crystal_cluster_iron",4134,3,"White Crystal Cluster",9
"actuallyadditions:block_crystal_cluster_iron",4134,4,"White Crystal Cluster",12
"actuallyadditions:block_crystal_cluster_iron",4134,5,"White Crystal Cluster",7
"actuallyadditions:block_crystal_cluster_lapis",4130,0,"Blue Crystal Cluster",11
"actuallyadditions:block_crystal_cluster_lapis",4130,1,"Blue Crystal Cluster",19
"actuallyadditions:block_crystal_cluster_lapis",4130,2,"Blue Crystal Cluster",14
"actuallyadditions:block_crystal_cluster_lapis",4130,3,"Blue Crystal Cluster",12
"actuallyadditions:block_crystal_cluster_lapis",4130,4,"Blue Crystal Cluster",13
"actuallyadditions:block_crystal_cluster_lapis",4130,5,"Blue Crystal Cluster",12
"actuallyadditions:block_crystal_cluster_redstone",4129,0,"Red Crystal Cluster",11
"actuallyadditions:block_crystal_cluster_redstone",4129,1,"Red Crystal Cluster",20
"actuallyadditions:block_crystal_cluster_redstone",4129,2,"Red Crystal Cluster",22
"actuallyadditions:block_crystal_cluster_redstone",4129,3,"Red Crystal Cluster",7
"actuallyadditions:block_crystal_cluster_redstone",4129,4,"Red Crystal Cluster",11
"actuallyadditions:block_crystal_cluster_redstone",4129,5,"Red Crystal Cluster",19
"actuallyadditions:block_giant_chest",4194,0,"Small Storage Crate",5
"actuallyadditions:block_misc",4192,3,"Black Quartz Ore",89603
"appliedenergistics2:charged_quartz_ore",2275,0,"Charged Certus Quartz Ore",2983
